NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
"Al Habtoor Grand Resort, Autograph Collection",United Arab Emirates,Dubai,24454,https://navigate.itb.com/company/Al-Habtoor-Grand-Resort-Autograph-Collection--1018709,Arda Kocturk,Sales Manager - Leisure
ALIATHON RESORT,Cyprus,Pafos,8201,https://navigate.itb.com/company/ALIATHON-RESORT--1216124,Xenios Xenophontos,Sales & Marketing Manager
Alila Kothaifaru Maldives,Maldives,Raa Atoll,05110,https://navigate.itb.com/company/Alila-Kothaifaru-Maldives--1001760,Naziya Hassan,ADOS
Aliya Resort & Spa (Pvt) Ltd,Sri Lanka,Colombo 06,00600,https://navigate.itb.com/company/Aliya-Resort-Spa-Pvt-Ltd--1214468,Subhashini Paul,Secretary to Chairman
Al Khoory Hotels,United Arab Emirates,Dubai,6237,https://navigate.itb.com/company/Al-Khoory-Hotels--1216553,Elias El Sous,Head of Sales
ALL STREET SRL,Italy,ALGHERO,07040,https://navigate.itb.com/company/ALL-STREET-SRL--1216620,MASSIMO GIACALONE,DIRECTOR OF SALES
Al Messila Luxury Collection Resort & Spa,Qatar,Doha,1320,https://navigate.itb.com/company/Al-Messila-Luxury-Collection-Resort-Spa--1207535,Aparajita Misra,
"ALOFT, Madrid Gran Vía",Spain,Madrid,28013,https://navigate.itb.com/company/ALOFT-Madrid-Gran-Vía--1214504,Yuliana Kryukova,Director of Sales & Marketing
Aloft Kathmandu Thamel,Nepal,Kathmandu,44600,https://navigate.itb.com/company/Aloft-Kathmandu-Thamel--1001879,Pawan Rajbhandari,Director of Sales and Marketing
Aloft Palm Jumeirah,United Arab Emirates,Dubai,50221,https://navigate.itb.com/company/Aloft-Palm-Jumeirah--1205121,Maria Ivanova,Director of Sales & Marketing
ALPHA HOTEL MANAGEMENT (AHM),Indonesia,Badung,80361,https://navigate.itb.com/company/ALPHA-HOTEL-MANAGEMENT-AHM--1001901,Gufron Gufron,Managing Director
Amantes Villas and Suites,Greece,Halkidiki,63088,https://navigate.itb.com/company/Amantes-Villas-and-Suites--1215642,Thodoris Sivris,Owner
Amara Bangkok,Thailand,Bangkok,10500,https://navigate.itb.com/company/Amara-Bangkok--1216680,Prutthaya Na Songkhla,Director of Sales
"Amarterra Villas Bali Nusa Dua, Autograph Collection",Indonesia,Bali,80363,https://navigate.itb.com/company/Amarterra-Villas-Bali-Nusa-Dua-Autograph-Collection--1215039,Lami Tjandi,General Manager
Amatara Welleisure™ Resort,Thailand,Phuket,83000,https://navigate.itb.com/company/Amatara-Welleisure-tm--Resort--1002090,Dongzi Li,Director of Sales
Amazing Evolution,Portugal,Lisboa,1250-147,https://navigate.itb.com/company/Amazing-Evolution--1216896,Pedro Sousa,
AMBASSADOR GROUP,Czechia,Praha 1 - Nové Město,110 00,https://navigate.itb.com/company/AMBASSADOR-GROUP--1002117,Alena Dytrychová,
Ammon Zeus,Greece,"Kallithea, Chalkidiki",63077,https://navigate.itb.com/company/Ammon-Zeus--1215644,Fay Psychopoulou,CEO
AMPHORA HOTEL,Cyprus,PAPHOS,8042,https://navigate.itb.com/company/AMPHORA-HOTEL--1216123,ONOUFRIOS ONOUFRIOU,HOTEL GENERAL MANAGER
Amrâth Hotels,Netherlands,Hilversum,1213 TS,https://navigate.itb.com/company/Amrâth-Hotels--1205218,Bryan Vreden,Leisure Sales Manager
Amsterdam Manor Beach Resort,Aruba,Oranjestad,0000,https://navigate.itb.com/company/Amsterdam-Manor-Beach-Resort--1159269,Jurgen van Schaijk,Managing |Director
An African Anthology,South Africa,"Killarney , Johannesburg",2193,https://navigate.itb.com/company/An-African-Anthology--1214675,Valerie Bassett,Sales and Marketing
Ananea Madivaru Maldives  (Twin Island Pvt Ltd),Maldives,Male',00000,https://navigate.itb.com/company/Ananea-Madivaru-Maldives--Twin-Island-Pvt-Ltd--1215887,Rizma Waleed,Director of Sales & Marketing
Anantara Iko Mauritius Resort & Villas,Mauritius,Plaine Magnien,0,https://navigate.itb.com/company/Anantara-Iko-Mauritius-Resort-Villas--1002299,Zakiya Auckbar,
ANANTARA KOH YAO YAI RESORT & VILLAS,Thailand,Phang Nga,82160,https://navigate.itb.com/company/ANANTARA-KOH-YAO-YAI-RESORT-VILLAS--1206328,Nanthapak Watthanachotthana,Director of Sales & Marketing
Anantara Lawana Koh Samui Resort and Anantara Bophut Koh Samui Resort,Thailand,"Koh Samui, Surat Thani",84320,https://navigate.itb.com/company/Anantara-Lawana-Koh-Samui-Resort-and-Anantara-Bophut-Koh-Samui-Resort--1215627,Radoslaw Piasecki,Cluster Director of Sales & Business Development
Anantara Maia Seychelles Villas,Seychelles,Anse Louis,0000,https://navigate.itb.com/company/Anantara-Maia-Seychelles-Villas--1002303,Jessica Giroux,
Anantara Riverside Bangkok Resort,Thailand,Bangkok,10600,https://navigate.itb.com/company/Anantara-Riverside-Bangkok-Resort--1002310,Supachai Punja-apisith,Cluster Director of Sales & Business Development
Anantara The Palm Dubai Resort | Anantara World Islands Dubai Resort,United Arab Emirates,Dubai,71607,https://navigate.itb.com/company/Anantara-The-Palm-Dubai-Resort-|-Anantara-World-Islands-Dubai-Resort--1002313,Manish Singh,Cluster Director of Sales
Andaman Beach Hotel Phuket - Handwritten Collection,Thailand,Phuket,83150,https://navigate.itb.com/company/Andaman-Beach-Hotel-Phuket---Handwritten-Collection--1207117,Anton Zharkov,Director of Sales & Marketing
Andaman Embrace Patong,Thailand,Phuket,83150,https://navigate.itb.com/company/Andaman-Embrace-Patong--1002343,Phattarawadee Pimpila,Director of Sales & Marketing
